HTS Number,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty
0201,"Meat of bovine animals, fresh or chilled:",,Free,Free,Free
0201.10,Carcasses and half-carcasses:,,Free,Free,Free
0201.10.05,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",13.2¢/kg
0201.10.05.10,Veal,kg,Free,Free,Free
0201.10.05.90,Other,kg,Free,Free,Free
0201.10.10,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions,,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg
0201.10.10.10,Veal,kg,Free,Free,Free
0201.10.10.90,Other,kg,Free,Free,Free
0201.10.50,Other,,26.4%,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 1.7% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",31.1%
0201.10.50.10,Veal,kg,Free,Free,Free
0201.10.50.90,Other,kg,Free,Free,Free
0201.20,Other cuts with bone in:,,Free,Free,Free
nan,Described in general note 15 of the tariff schedule and entered pursuant to its provisions:,,Free,Free,Free
nan,Processed:,,Free,Free,Free
0201.20.02.00,High-quality beef cuts,kg,4%,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",20%
0201.20.04.00,Other,kg,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%
0201.20.06.00,Other,kg,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",13.2¢/kg
nan,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:,,Free,Free,Free
nan,Processed:,,Free,Free,Free
0201.20.10.00,High-quality beef cuts,kg,4%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%
0201.20.30.00,Other,kg,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%
0201.20.50,Other,,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg
0201.20.50.15,Fresh or chilled bone in veal cuts,kg,Free,Free,Free
nan,Other:,,Free,Free,Free
0201.20.50.25,Rib cuts,kg,Free,Free,Free
0201.20.50.35,Chuck cuts,kg,Free,Free,Free
